trimesh\util.py:2064: DeprecationWarning: Using or importing the ABCs from 'collections' instead of from 'collections.abc' is deprecated since Python 3.3, and in 3.10 it will stop working
trimesh\voxel\runlength.py:205: DeprecationWarning: `np.bool` is a deprecated alias for the builtin `bool`. To silence this warning, use `bool` by itself. Doing this will not modify any behavior and is safe. If you specifically wanted the numpy scalar type, use `np.bool_` here.
Deprecated in NumPy 1.20; for more details and guidance: https://numpy.org/devdocs/release/1.20.0-notes.html#deprecations
2021-11-21 21:14:24,107 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin ConsoleLogger
2021-11-21 21:14:24,304 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin CuraDrive
2021-11-21 21:14:24,442 - INFO - [MainThread] CuraEngineBackend.CuraEngineBackend.__init__ [96]: Found CuraEngine at: C:\Program Files\Ultimaker Cura 4.12.1\CuraEngine.exe
2021-11-21 21:14:24,454 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin CuraEngineBackend
2021-11-21 21:14:24,473 - DEBUG - [MainThread] UM.Backend.Backend._logSocketState [188]: Socket state changed to Listening
2021-11-21 21:14:24,547 - INFO - [MainThread] UM.Backend.Backend.startEngine [90]: Started engine process: C:\Program Files\Ultimaker Cura 4.12.1\CuraEngine.exe
2021-11-21 21:14:24,554 - DEBUG - [MainThread] UM.Backend.Backend._backendLog [110]: [Backend] Calling engine with: ['C:\\Program Files\\Ultimaker Cura 4.12.1\\CuraEngine.exe', 'connect', '127.0.0.1:49674', '']
2021-11-21 21:14:24,620 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin CuraProfileReader
2021-11-21 21:14:24,685 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin CuraProfileWriter
2021-11-21 21:14:24,878 - DEBUG - [EngineErrorThread] UM.Backend.Backend._backendLog [110]: [Backend] 
2021-11-21 21:14:24,886 - DEBUG - [EngineErrorThread] UM.Backend.Backend._backendLog [110]: [Backend] Cura_SteamEngine version 4.12.1
2021-11-21 21:14:24,891 - DEBUG - [EngineErrorThread] UM.Backend.Backend._backendLog [110]: [Backend] Copyright (C) 2021 Ultimaker
2021-11-21 21:14:24,897 - DEBUG - [EngineErrorThread] UM.Backend.Backend._backendLog [110]: [Backend] 
2021-11-21 21:14:24,903 - DEBUG - [EngineErrorThread] UM.Backend.Backend._backendLog [110]: [Backend] This program is free software: you can redistribute it and/or modify
2021-11-21 21:14:24,909 - DEBUG - [EngineErrorThread] UM.Backend.Backend._backendLog [110]: [Backend] it under the terms of the GNU Affero General Public License as published by
2021-11-21 21:14:24,917 - DEBUG - [EngineErrorThread] UM.Backend.Backend._backendLog [110]: [Backend] the Free Software Foundation, either version 3 of the License, or
2021-11-21 21:14:24,924 - DEBUG - [EngineErrorThread] UM.Backend.Backend._backendLog [110]: [Backend] (at your option) any later version.
2021-11-21 21:14:24,930 - DEBUG - [EngineErrorThread] UM.Backend.Backend._backendLog [110]: [Backend] 
2021-11-21 21:14:24,936 - DEBUG - [EngineErrorThread] UM.Backend.Backend._backendLog [110]: [Backend] This program is distributed in the hope that it will be useful,
2021-11-21 21:14:24,947 - DEBUG - [EngineErrorThread] UM.Backend.Backend._backendLog [110]: [Backend] but WITHOUT ANY WARRANTY; without even the implied warranty of
2021-11-21 21:14:24,954 - DEBUG - [EngineErrorThread] UM.Backend.Backend._backendLog [110]: [Backend] MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.  See the
2021-11-21 21:14:24,959 - DEBUG - [EngineErrorThread] UM.Backend.Backend._backendLog [110]: [Backend] GNU Affero General Public License for more details.
2021-11-21 21:14:24,966 - DEBUG - [EngineErrorThread] UM.Backend.Backend._backendLog [110]: [Backend] 
2021-11-21 21:14:24,974 - DEBUG - [EngineErrorThread] UM.Backend.Backend._backendLog [110]: [Backend] You should have received a copy of the GNU Affero General Public License
2021-11-21 21:14:24,980 - DEBUG - [EngineErrorThread] UM.Backend.Backend._backendLog [110]: [Backend] along with this program.  If not, see <http://www.gnu.org/licenses/>.
2021-11-21 21:14:25,200 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin DigitalLibrary
2021-11-21 21:14:25,206 - DEBUG - [MainThread] UM.Backend.Backend._logSocketState [192]: Socket state changed to Connected
2021-11-21 21:14:25,211 - DEBUG - [MainThread] UM.Backend.Backend._onSocketStateChanged [181]: Backend connected on port 49674
2021-11-21 21:14:25,274 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin OBJReader
2021-11-21 21:14:25,336 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin OBJWriter
2021-11-21 21:14:25,405 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin STLReader
2021-11-21 21:14:25,465 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin STLWriter
2021-11-21 21:14:25,525 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin FileLogger
2021-11-21 21:14:25,639 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin FirmwareUpdateChecker
2021-11-21 21:14:25,703 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin FirmwareUpdater
2021-11-21 21:14:25,765 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin GCodeGzReader
2021-11-21 21:14:25,826 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin GCodeGzWriter
2021-11-21 21:14:25,887 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin GCodeProfileReader
2021-11-21 21:14:26,002 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin GCodeReader
2021-11-21 21:14:26,051 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin GCodeWriter
2021-11-21 21:14:26,132 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin ImageReader
2021-11-21 21:14:26,192 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin LegacyProfileReader
2021-11-21 21:14:26,259 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin LocalContainerProvider
2021-11-21 21:14:26,339 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin LocalFileOutputDevice
2021-11-21 21:14:26,401 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin MachineSettingsAction
2021-11-21 21:14:26,463 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin ModelChecker
2021-11-21 21:14:26,525 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin MonitorStage
2021-11-21 21:14:26,605 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin PerObjectSettingsTool
2021-11-21 21:14:26,668 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin PostProcessingPlugin
2021-11-21 21:14:26,725 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin PrepareStage
2021-11-21 21:14:26,786 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin PreviewStage
2021-11-21 21:14:26,860 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin RemovableDriveOutputDevice
2021-11-21 21:14:26,916 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin SentryLogger
2021-11-21 21:14:27,053 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin SimulationView
2021-11-21 21:14:27,119 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin SliceInfoPlugin
2021-11-21 21:14:27,187 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin SolidView
2021-11-21 21:14:27,338 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin SupportEraser
2021-11-21 21:14:27,634 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin Toolbox
2021-11-21 21:14:27,695 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin CameraTool
2021-11-21 21:14:27,775 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin MirrorTool
2021-11-21 21:14:27,862 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin RotateTool
2021-11-21 21:14:27,945 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin ScaleTool
2021-11-21 21:14:28,004 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin SelectionTool
2021-11-21 21:14:28,083 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin TranslateTool
2021-11-21 21:14:28,142 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin TrimeshReader
2021-11-21 21:14:28,223 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin UFPReader
2021-11-21 21:14:28,289 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin UFPWriter
2021-11-21 21:14:28,367 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin UltimakerMachineActions
C:\Program Files\Ultimaker Cura 4.12.1\plugins\UM3NetworkPrinting\src\ExportFileJob.py:31: DeprecationWarning: invalid escape sequence \w
  job_name = re.sub("[^\w\-. ()]", "-", job_name)
2021-11-21 21:14:29,259 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin UM3NetworkPrinting
2021-11-21 21:14:29,349 - INFO - [MainThread] UpdateChecker.UpdateChecker.checkNewVersion [68]: Checking for new version
2021-11-21 21:14:29,359 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin UpdateChecker
C:\Program Files\Ultimaker Cura 4.12.1\plugins\USBPrinting\USBPrinterOutputDevice.py:280: DeprecationWarning: invalid escape sequence \d
  if re.search(b"[B|T\d*]: ?\d+\.?\d*", line):  # Temperature message. 'T:' for extruder and 'B:' for bed
2021-11-21 21:14:29,709 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin USBPrinting
2021-11-21 21:14:29,830 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin VersionUpgrade21to22
2021-11-21 21:14:29,894 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin VersionUpgrade22to24
2021-11-21 21:14:29,960 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin VersionUpgrade25to26
2021-11-21 21:14:30,021 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin VersionUpgrade26to27
2021-11-21 21:14:30,085 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin VersionUpgrade27to30
2021-11-21 21:14:30,146 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin VersionUpgrade30to31
2021-11-21 21:14:30,210 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin VersionUpgrade32to33
2021-11-21 21:14:30,269 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin VersionUpgrade33to34
2021-11-21 21:14:30,327 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin VersionUpgrade34to35
2021-11-21 21:14:30,387 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin VersionUpgrade35to40
2021-11-21 21:14:30,453 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin VersionUpgrade40to41
2021-11-21 21:14:30,518 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin VersionUpgrade411to412
2021-11-21 21:14:30,582 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin VersionUpgrade41to42
2021-11-21 21:14:30,643 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin VersionUpgrade42to43
2021-11-21 21:14:30,704 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin VersionUpgrade43to44
2021-11-21 21:14:30,771 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin VersionUpgrade44to45
2021-11-21 21:14:30,835 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin VersionUpgrade45to46
2021-11-21 21:14:30,899 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin VersionUpgrade460to462
2021-11-21 21:14:30,962 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin VersionUpgrade462to47
2021-11-21 21:14:31,025 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin VersionUpgrade47to48
2021-11-21 21:14:31,086 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin VersionUpgrade48to49
2021-11-21 21:14:31,149 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin VersionUpgrade49to410
2021-11-21 21:14:31,208 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin SimpleView
2021-11-21 21:14:31,290 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin X3DReader
2021-11-21 21:14:31,403 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin XmlMaterialProfile
2021-11-21 21:14:31,463 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin XRayView
2021-11-21 21:14:31,528 - DEBUG - [MainThread] CalibrationShapes.CalibrationShapes.__init__ [106]: Info CuraVersion --> 4.12.1
2021-11-21 21:14:31,538 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin CalibrationShapes
2021-11-21 21:14:31,663 - INFO - [MainThread] CuraBlenderPlugin.CadIntegrationUtils.Extras.SystemUtils.registerThirdPartyModules [20]: Adding 3rd-party modules from: D:\Projetos\Internal\3dPrinters.Firmware\Cura\4.12\plugins\CuraBlenderPlugin\CuraBlenderPlugin\CadIntegrationUtils\3rd-party
2021-11-21 21:14:31,664 - INFO - [MainThread] CuraBlenderPlugin.CadIntegrationUtils.Extras.SystemUtils.registerThirdPartyModules [28]: Platform is: ['cpython', '3.8', 'windows', 'amd64']
2021-11-21 21:14:31,691 - INFO - [MainThread] CuraBlenderPlugin.CadIntegrationUtils.CommonCLIReader._findPathsForExtensionClassic [146]: File extension not found in registry: ".blend"
2021-11-21 21:14:31,692 - DEBUG - [MainThread] CuraBlenderPlugin.CadIntegrationUtils.CommonCLIReader.findPathsForExtensionRootClassic [101]: The result is: "[]"
2021-11-21 21:14:31,693 - INFO - [MainThread] CuraBlenderPlugin.CadIntegrationUtils.CommonCLIReader._findPathsForExtensionClassic [146]: File extension not found in registry: ".blend"
2021-11-21 21:14:31,694 - DEBUG - [MainThread] CuraBlenderPlugin.CadIntegrationUtils.CommonCLIReader.findPathsForExtensionUserClassic [112]: The result is: "[]"
2021-11-21 21:14:31,701 - ERROR - [MainThread] UM.Logger.logException [112]: Exception: Exception, while looking for AppID: ".blend"
2021-11-21 21:14:31,709 - ERROR - [MainThread] UM.Logger.logException [116]: Traceback (most recent call last):
2021-11-21 21:14:31,716 - ERROR - [MainThread] UM.Logger.logException [116]:   File "C:\Users\Miguel Rodrigues\AppData\Roaming\cura\4.12\plugins\CuraBlenderPlugin\CuraBlenderPlugin\CadIntegrationUtils\CommonCLIReader.py", line 63, in findPathsForExtensionUserModern
2021-11-21 21:14:31,723 - ERROR - [MainThread] UM.Logger.logException [116]:     user_choice = winreg.OpenKey(key_base,
2021-11-21 21:14:31,729 - ERROR - [MainThread] UM.Logger.logException [116]: FileNotFoundError: [WinError 2] O sistema não conseguiu localizar o ficheiro especificado
2021-11-21 21:14:31,730 - DEBUG - [MainThread] CuraBlenderPlugin.CadIntegrationUtils.CommonCLIReader.findPathsForAllExtensions [275]: The result is: []
2021-11-21 21:14:31,740 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin CuraBlenderPlugin
2021-11-21 21:14:31,754 - DEBUG - [MainThread] UM.PluginRegistry.loadPlugins [396]: Loading all plugins took 10.231010675430298 seconds
2021-11-21 21:14:31,788 - INFO - [MainThread] UM.VersionUpgradeManager.upgrade [163]: Looking for old configuration files to upgrade.
2021-11-21 21:14:32,002 - INFO - [MainThread] UM.VersionUpgradeManager.upgrade [177]: Checking and performing updates took 0.21497583389282227
2021-11-21 21:14:32,170 - INFO - [MainThread] UM.Logger.info [128]: Completed loading preferences.
2021-11-21 21:14:32,233 - INFO - [MainThread] UM.Logger.info [128]: Created system tray icon.
2021-11-21 21:14:47,615 - DEBUG - [MainThread] UM.Settings.ContainerRegistry.loadAllMetadata [522]: Loading metadata into container registry took 15.351000785827637 seconds
2021-11-21 21:14:47,652 - DEBUG - [MainThread] cura.Scene.CuraSceneController.setActiveBuildPlate [142]: Select build plate: 0
2021-11-21 21:14:47,660 - INFO - [MainThread] cura.CuraApplication.run [803]: Initializing machine error checker
2021-11-21 21:14:48,459 - INFO - [MainThread] cura.UI.MachineActionManager.addDefaultMachineActions [74]: Default machine actions added for machine definition [anet3d_a8_plus]
2021-11-21 21:14:48,960 - WARNING - [MainThread] LocalContainerProvider.LocalContainerProvider._saveCachedDefinition [300]: The definition cache for definition fdmprinter failed to pickle.
2021-11-21 21:14:49,072 - INFO - [MainThread] cura.Settings.GlobalStack.addExtruder [202]: Extruder[anet3d_extruder_0 #2] added to [Anet A8 PLUS] at position [0]
2021-11-21 21:14:49,074 - INFO - [MainThread] FirmwareUpdateChecker.FirmwareUpdateChecker.checkFirmwareVersion [79]: No machine with name Anet A8 Plus in list of firmware to check.
2021-11-21 21:14:50,018 - DEBUG - [MainThread] cura.Machines.ContainerTree.__getitem__ [120]: Adding container tree for anet3d_a8_plus took 0.9310157299041748 seconds.
C:\Program Files\Ultimaker Cura 4.12.1\plugins\PostProcessingPlugin\Script.py:125: DeprecationWarning: invalid escape sequence \.
  m = re.search('^-?[0-9]+\.?[0-9]*', sub_part)
2021-11-21 21:14:50,070 - DEBUG - [MainThread] PostProcessingPlugin.PostProcessingPlugin.loadScripts [204]: Begin loading of script: ChangeAtZ
2021-11-21 21:14:50,089 - DEBUG - [MainThread] PostProcessingPlugin.PostProcessingPlugin.loadScripts [204]: Begin loading of script: ColorMix
2021-11-21 21:14:50,095 - DEBUG - [MainThread] PostProcessingPlugin.PostProcessingPlugin.loadScripts [204]: Begin loading of script: CreateThumbnail
2021-11-21 21:14:50,113 - DEBUG - [MainThread] PostProcessingPlugin.PostProcessingPlugin.loadScripts [204]: Begin loading of script: DisplayFilenameAndLayerOnLCD
2021-11-21 21:14:50,130 - DEBUG - [MainThread] PostProcessingPlugin.PostProcessingPlugin.loadScripts [204]: Begin loading of script: DisplayProgressOnLCD
2021-11-21 21:14:50,147 - DEBUG - [MainThread] PostProcessingPlugin.PostProcessingPlugin.loadScripts [204]: Begin loading of script: FilamentChange
2021-11-21 21:14:50,163 - DEBUG - [MainThread] PostProcessingPlugin.PostProcessingPlugin.loadScripts [204]: Begin loading of script: InsertAtLayerChange
